"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"UCD - Drug/Alcohol Induced"	"UCD - Drug/Alcohol Induced Code"	"UCD - Drug/Alcohol Induced Cause"	"UCD - Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"Female"	"F"	"1999"	"1999"	"Drug-induced causes"	"D"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	51	2293259	2.2	2.2
	"Alabama"	"01"	"Female"	"F"	"1999"	"1999"	"Drug-induced causes"	"D"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	17	2293259	Unreliable	Unreliable
	"Alabama"	"01"	"Female"	"F"	"1999"	"1999"	"Drug-induced causes"	"D"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	10	2293259	Unreliable	Unreliable
	"Alabama"	"01"	"Female"	"F"	"1999"	"1999"	"Alcohol-induced causes"	"A"	"All other alcohol-induced causes"	"A9"	49	2293259	2.1	2.1
	"Alabama"	"01"	"Female"	"F"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O"	"All other non-drug and non-alcohol causes"	"O9"	22469	2293259	979.8	824.2
	"Alabama"	"01"	"Female"	"F"	"2000"	"2000"	"Drug-induced causes"	"D"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	56	2300596	2.4	2.4
	"Alabama"	"01"	"Female"	"F"	"2000"	"2000"	"Drug-induced causes"	"D"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	27	2300596	1.2	1.2
	"Alabama"	"01"	"Female"	"F"	"2000"	"2000"	"Drug-induced causes"	"D"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	10	2300596	Unreliable	Unreliable
	"Alabama"	"01"	"Female"	"F"	"2000"	"2000"	"Drug-induced causes"	"D"	"All other drug-induced causes"	"D9"	13	2300596	Unreliable	Unreliable
	"Alabama"	"01"	"Female"	"F"	"2000"	"2000"	"Alcohol-induced causes"	"A"	"All other alcohol-induced causes"	"A9"	61	2300596	2.7	2.6
	"Alabama"	"01"	"Female"	"F"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O"	"All other non-drug and non-alcohol causes"	"O9"	22542	2300596	979.8	816.7
	"Alabama"	"01"	"Female"	"F"	"2001"	"2001"	"Drug-induced causes"	"D"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	70	2309496	3.0	3.0
	"Alabama"	"01"	"Female"	"F"	"2001"	"2001"	"Drug-induced causes"	"D"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	22	2309496	1.0	1.0
	"Alabama"	"01"	"Female"	"F"	"2001"	"2001"	"Alcohol-induced causes"	"A"	"All other alcohol-induced causes"	"A9"	48	2309496	2.1	2.0
	"Alabama"	"01"	"Female"	"F"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O"	"All other non-drug and non-alcohol causes"	"O9"	22974	2309496	994.8	829.9
	"Alabama"	"01"	"Female"	"F"	"2002"	"2002"	"Drug-induced causes"	"D"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	70	2314370	3.0	3.0
	"Alabama"	"01"	"Female"	"F"	"2002"	"2002"	"Drug-induced causes"	"D"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	18	2314370	Unreliable	Unreliable
	"Alabama"	"01"	"Female"	"F"	"2002"	"2002"	"Alcohol-induced causes"	"A"	"All other alcohol-induced causes"	"A9"	42	2314370	1.8	1.7
	"Alabama"	"01"	"Female"	"F"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O"	"All other non-drug and non-alcohol causes"	"O9"	23279	2314370	1005.8	838.8
